text,date,No_of_likes,No_of_tweets
Tusker should use @Buhangazi1 . Man takes those like he's drinking water,2023-10-04 06:08:00+00:00,8,1
I hate those corporate clubs bana. Community clubs are the sure way to go. EABL for instance should have looked for a team to sponsor instead of creating Tusker.,2023-10-03 10:04:00+00:00,0,1
Man I miss Tusker Safari Sevens @EABL_PLC,2023-10-03 05:30:00+00:00,1,0
@tusker_fc @EABL_PLC come on guys.... kindly water your pitch and upgarde it... hamfai kuchezea kiwanja inakkaa hivyo.... you are gigantuam... sisi mafans tunaaibika,2023-10-02 14:21:00+00:00,0,0
"specified timings - the last performer, Shinski, performed 2 hours late. This inconvenience affected us attendees. Thank you, EABL, and I hope Tusker Oktoberfest will be just as good as this.",2023-10-02 06:59:00+00:00,0,0
😂😂 atleast alirepresent Tusker / EABL... top fan,2023-10-02 05:27:00+00:00,0,1
"Hello. You can visit our office in Ruaraka, EABL behind Garden city mall or if in town visit Urban apparels shop besides Nairobi Sports house. Contact Charles (Ruaraka)  on 0720245551 and Haron(Nairobi cbd) 0721419099. Costs 1500",2023-09-28 17:40:00+00:00,3,1
Can @EABL_PLC make a public statement why Tusker Lite has become bitter?,2023-09-28 09:14:00+00:00,0,2
Eabl warudishe Tusker Project Fame..waambie sitaimba na pia Pilsner Mflame pool tournament irudi hiyo lakini my Gs will participate.,2023-09-26 01:22:00+00:00,1,0
I think Tusker Players are drunkards cause they are sponsored by EABL,2023-09-25 17:57:00+00:00,0,1
"3. EABL— Sh105 Billion The largest brewer in East Africa, produces and distributes a variety of  alcoholic and non-alcoholic beverages, such as Tusker, Guinness, and  Alvaro. EABL has a strong presence in Kenya, Uganda, Tanzania, South  Sudan, Rwanda, and Burundi.",2023-09-22 18:27:00+00:00,2,1
"My land is Kenya, EABL r my heroes coz Tusker lifts my system kama iPhone 14 or iOS 17   Alafu Ghost Mulee hawezi kua coach pale Emirates or Arsenal Stadium? Ni Kasarani tu?  4 those who want 2 be heroes kama Baba the 6th or Samora Machel start with a watch👇  9,750/- 0722109031",2023-09-20 11:13:00+00:00,26,2
Is the bulk of EABL’s business <5% ABV Tusker/Guinness - Beer or >30% ABV Johnnie Walker/Tanqueray - Spirits?   The illegal producers must love irrational tax policies……..🙈.,2023-09-17 06:37:00+00:00,0,1
Kakamega Homeboyz owns Tusker.  😂. EABL should be very worried.  @EABL_PLC @tusker_fc,2023-09-16 12:40:00+00:00,0,0
EABL aiko ethopia....why would it be included kwa TUSKER mzee,2023-09-11 14:21:00+00:00,0,2
@EABL_PLC is this the meaning of tusker ??,2023-09-10 16:36:00+00:00,1,0
"@EABL_PLC even if it’s free, there’s no way I’m returning to watch @tusker_fc home game . Standing for 90+3 min is no easy task",2023-09-04 09:30:00+00:00,0,0
Tusker should work on that field and change its status to a stadium.  @EABL_PLC doesn't take football serious or what?,2023-09-03 07:17:00+00:00,0,0
